,Sales Rank
2024-04-23,465
2024-04-24,459
2024-04-25,445
2024-04-26,403
2024-04-27,393
2024-04-28,404
2024-04-29,517
2024-04-30,597
2024-05-01,636
2024-05-02,640
2024-05-03,725
2024-05-04,716
2024-05-05,725
2024-05-06,775
2024-05-07,890
2024-05-08,939
2024-05-09,967
2024-05-10,902
2024-05-11,130151
2024-05-12,136193
2024-05-13,140733
2024-05-14,150020
2024-05-15,98780
2024-05-16,120885
2024-05-17,134757
2024-05-18,142397
2024-05-19,148116
2024-05-20,159100
2024-05-21,95725
2024-05-22,110099
2024-05-23,125764
2024-05-24,138982
2024-05-25,91500
2024-05-26,114847
2024-05-27,1104
2024-05-28,1188
2024-05-29,778
2024-05-30,889
2024-05-31,1021
2024-06-01,1021
2024-06-02,1078
2024-06-03,1060
2024-06-04,985
2024-06-05,1007
2024-06-06,867
2024-06-07,963
2024-06-08,867
2024-06-09,784
2024-06-10,930
2024-06-11,770
2024-06-12,792
2024-06-13,832
2024-06-14,858
2024-06-15,915
2024-06-16,898
2024-06-17,776
2024-06-18,582
2024-06-19,558
2024-06-20,511
2024-06-21,488
2024-06-22,372
2024-06-23,430
2024-06-24,595
2024-06-25,709
2024-06-26,758
2024-06-27,814
2024-06-28,878
2024-06-29,971
2024-06-30,874
2024-07-01,940
2024-07-02,1010
2024-07-03,950
2024-07-04,1003
2024-07-05,818
2024-07-06,838
2024-07-07,829
2024-07-08,981
2024-07-09,997
2024-07-10,1009
2024-07-11,971
2024-07-12,889
2024-07-13,811
2024-07-14,803
2024-07-15,803
2024-07-16,473
2024-07-17,352
2024-07-18,385
2024-07-19,517
2024-07-20,534
2024-07-21,649
2024-07-22,752
2024-07-23,880
2024-07-24,799
2024-07-25,880
2024-07-26,882
2024-07-27,797
2024-07-28,807
2024-07-29,873
2024-07-30,810
2024-07-31,844
2024-08-01,946
2024-08-02,733
2024-08-03,819
2024-08-04,877
2024-08-05,887
2024-08-06,966
2024-08-07,931
2024-08-08,903
2024-08-10,1016
2024-08-11,909
2024-08-12,824
2024-08-13,914
2024-08-14,988
2024-08-15,738
2024-08-16,831
2024-08-17,899
2024-08-18,1083
2024-08-19,726
2024-08-20,710
2024-08-21,639
2024-08-22,477
2024-08-23,411
2024-08-24,422
2024-08-25,427
2024-08-26,615
2024-08-27,811
2024-08-28,829
2024-08-29,874
2024-08-30,952
2024-08-31,866
2024-09-01,770
2024-09-02,901
2024-09-03,957
2024-09-04,744
2024-09-05,751
2024-09-06,863
2024-09-07,883
2024-09-08,801
2024-09-09,977
2024-09-10,940
2024-09-11,997
2024-09-12,1049
2024-09-13,1125
2024-09-14,953
2024-09-15,1111
2024-09-16,1232
2024-09-17,1295
2024-09-18,1014
2024-09-19,921
2024-09-20,1079
2024-09-21,1050
2024-09-22,961
2024-09-23,1084
2024-09-24,1207
2024-09-25,1111
2024-09-26,1126
2024-09-28,1140
2024-09-29,984
2024-09-30,1174
2024-10-01,1259
2024-10-02,1258
2024-10-03,944
2024-10-04,985
2024-10-06,1169
2024-10-07,1293
2024-10-08,570
2024-10-09,420
2024-10-10,461
2024-10-11,559
2024-10-12,596
2024-10-13,713
2024-10-14,842
2024-10-15,735
2024-10-16,824
2024-10-17,857
2024-10-18,988
2024-10-19,811
2024-10-20,867
2024-10-21,982
2024-10-22,731
2024-10-23,805
2024-10-24,844
2024-10-25,840
2024-10-26,871
2024-10-27,1002
2024-10-28,1142
2024-10-29,891
2024-10-30,918
2024-10-31,782
2024-11-01,841
2024-11-02,918
2024-11-03,772
2024-11-04,908
2024-11-05,842
2024-11-06,897
2024-11-07,835
2024-11-08,874
2024-11-09,674
2024-11-10,729
2024-11-11,785
2024-11-12,880
2024-11-13,808
2024-11-14,932
2024-11-15,862
2024-11-16,743
2024-11-17,758
2024-11-18,810
2024-11-19,819
2024-11-20,836
2024-11-21,555
2024-11-22,367
2024-11-23,344
2024-11-24,360
2024-11-25,401
2024-11-26,415
2024-11-27,455
2024-11-28,467
2024-11-29,278
2024-11-30,260
2024-12-01,328
2024-12-02,289
2024-12-03,296
2024-12-04,341
2024-12-05,312
2024-12-06,302
2024-12-07,196
2024-12-08,214
2024-12-09,157
2024-12-10,117
2024-12-11,93
2024-12-12,89
2024-12-13,86
2024-12-14,76
2024-12-15,72
2024-12-16,89
2024-12-17,102
2024-12-18,125
2024-12-19,118
2024-12-20,113
2024-12-21,80
2024-12-22,92
2024-12-23,148
2024-12-24,208
2024-12-25,298
2024-12-26,464
2024-12-27,525
2024-12-28,539
2024-12-29,551
2024-12-30,657
2024-12-31,610
2025-01-01,662
2025-01-02,489
2025-01-03,595
2025-01-04,665
2025-01-05,759
2025-01-06,629
2025-01-07,532
2025-01-08,505
2025-01-09,465
2025-01-10,476
2025-01-11,389
2025-01-12,381
